,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
2803,2024-10-04,201100.0,194500.0,206500.0
2804,2024-10-05,200900.0,192600.0,204600.0
2805,2024-10-06,200800.0,190700.0,202700.0
2806,2024-10-07,200800.0,190600.0,202600.0
2807,2024-10-08,200600.0,190500.0,202500.0
2808,2024-10-09,200500.0,190300.0,202300.0
2809,2024-10-10,200700.0,192500.0,204500.0
2810,2024-10-11,200600.0,194300.0,206300.0
2811,2024-10-12,200600.0,192400.0,204400.0
2812,2024-10-13,200600.0,190700.0,202700.0
2813,2024-10-14,200500.0,190700.0,202700.0
2814,2024-10-15,200900.0,190700.0,202700.0
2815,2024-10-16,200900.0,190800.0,202800.0
2816,2024-10-17,200800.0,192700.0,204700.0
2817,2024-10-18,200800.0,194600.0,206600.0
2818,2024-10-19,200900.0,192900.0,204900.0
2819,2024-10-20,201100.0,191000.0,203000.0
2820,2024-10-21,201500.0,191500.0,203500.0
2821,2024-10-22,201500.0,191700.0,203700.0
2822,2024-10-23,201700.0,192000.0,204000.0
2823,2024-10-24,202000.0,194300.0,206300.0
2824,2024-10-25,202400.0,196300.0,208300.0
2825,2024-10-26,202400.0,194200.0,206200.0
2826,2024-10-27,202800.0,192900.0,204900.0
2827,2024-10-28,202900.0,193200.0,205200.0
2828,2024-10-29,203100.0,193300.0,205300.0
2829,2024-10-30,203600.0,193700.0,205700.0
2830,2024-10-31,204000.0,196400.0,208400.0
2831,2024-11-01,204600.0,198800.0,210800.0
2832,2024-11-02,205100.0,197300.0,209300.0
2833,2024-11-03,205100.0,195600.0,207600.0
2834,2024-11-04,205400.0,195700.0,207700.0
2835,2024-11-05,205700.0,195600.0,207600.0
2836,2024-11-06,206100.0,195700.0,207700.0
2837,2024-11-07,205900.0,197600.0,209600.0
2838,2024-11-08,205700.0,199700.0,211700.0
2839,2024-11-09,206000.0,198200.0,210200.0
2840,2024-11-10,206800.0,197200.0,209200.0
2841,2024-11-11,207300.0,197400.0,209400.0
2842,2024-11-12,207800.0,198200.0,210200.0
2843,2024-11-13,207700.0,198500.0,210500.0
2844,2024-11-14,208200.0,200600.0,212600.0
2845,2024-11-15,208500.0,202100.0,214100.0
2846,2024-11-16,208900.0,200500.0,212500.0
2847,2024-11-17,208500.0,198300.0,210300.0
2848,2024-11-18,208700.0,198800.0,210800.0
2849,2024-11-19,209100.0,199500.0,211500.0
2850,2024-11-20,209600.0,199900.0,211900.0
2851,2024-11-21,209900.0,202100.0,214100.0
2852,2024-11-22,210400.0,204700.0,216700.0
2853,2024-11-23,210600.0,203000.0,215000.0
2854,2024-11-24,210800.0,200600.0,212600.0
2855,2024-11-25,211100.0,200900.0,212900.0
2856,2024-11-26,210900.0,200900.0,212900.0
2857,2024-11-27,211100.0,201000.0,213000.0
2858,2024-11-28,211500.0,203400.0,215400.0
2859,2024-11-29,211700.0,205900.0,217900.0
2860,2024-11-30,211600.0,203800.0,215800.0
2861,2024-12-01,212300.0,202600.0,214600.0
2862,2024-12-02,212600.0,203000.0,215000.0
2863,2024-12-03,213200.0,203400.0,215400.0
2864,2024-12-04,213600.0,203600.0,215600.0
2865,2024-12-05,213700.0,206300.0,218300.0
2866,2024-12-06,214000.0,208200.0,220200.0
2867,2024-12-07,214600.0,206500.0,218500.0
2868,2024-12-08,214500.0,204300.0,216300.0
2869,2024-12-09,214700.0,204600.0,216600.0
2870,2024-12-10,214900.0,205000.0,217000.0
2871,2024-12-11,215300.0,205500.0,217500.0
2872,2024-12-12,215500.0,207600.0,219600.0
2873,2024-12-13,215500.0,209700.0,221700.0
2874,2024-12-14,215500.0,207700.0,219700.0
2875,2024-12-15,215800.0,205600.0,217600.0
2876,2024-12-16,216300.0,206000.0,218000.0
2877,2024-12-17,216300.0,206200.0,218200.0
2878,2024-12-18,216300.0,206600.0,218600.0
2879,2024-12-19,216400.0,209000.0,221000.0
2880,2024-12-20,216900.0,211200.0,223200.0
2881,2024-12-21,217100.0,208800.0,220800.0
2882,2024-12-22,217400.0,207100.0,219100.0
2883,2024-12-23,217700.0,207900.0,219900.0
2884,2024-12-24,218000.0,208300.0,220300.0
2885,2024-12-25,218900.0,209400.0,221400.0
2886,2024-12-26,219500.0,212300.0,224300.0
2887,2024-12-27,219900.0,214600.0,226600.0
2888,2024-12-28,220100.0,212100.0,224100.0
2889,2024-12-29,220200.0,210200.0,222200.0
2890,2024-12-30,220200.0,209800.0,221800.0
2891,2024-12-31,220800.0,210100.0,222100.0
2892,2025-01-01,220700.0,210600.0,222600.0
2893,2025-01-02,220800.0,213300.0,225300.0
2894,2025-01-03,221300.0,216100.0,228100.0
2895,2025-01-04,221500.0,213900.0,225900.0
